"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\App.tsx", "TypeScript JSX", 0, 45, 0, 2, 6, 53
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\Modal\EditProfileModal\index.tsx", "TypeScript JSX", 0, 132, 0, 4, 12, 148
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\Modal\MessageModal\index.tsx", "TypeScript JSX", 0, 97, 0, 0, 10, 107
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\Modal\UploadAvatarModal\index.tsx", "TypeScript JSX", 0, 100, 0, 4, 10, 114
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\Modal\WarningUnfriendModal\index.tsx", "TypeScript JSX", 0, 38, 0, 0, 4, 42
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\Modal\index.tsx", "TypeScript JSX", 0, 27, 0, 2, 5, 34
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\Post\ImageCarousel.tsx", "TypeScript JSX", 0, 106, 0, 4, 14, 124
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\Post\PostList.tsx", "TypeScript JSX", 0, 9, 0, 0, 4, 13
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\Post\ReactionButton.tsx", "TypeScript JSX", 0, 142, 0, 2, 13, 157
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\Post\TruncateContent.tsx", "TypeScript JSX", 0, 29, 0, 0, 7, 36
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\Post\index.tsx", "TypeScript JSX", 0, 133, 0, 6, 10, 149
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\ProfileHeader\ProfileActions.tsx", "TypeScript JSX", 0, 218, 0, 5, 19, 242
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\ProfileHeader\TabItem.tsx", "TypeScript JSX", 0, 24, 0, 0, 4, 28
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\ProfileHeader\index.tsx", "TypeScript JSX", 0, 66, 0, 10, 12, 88
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\SideBarLeft\TabItem.tsx", "TypeScript JSX", 0, 23, 0, 0, 4, 27
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\SideBarLeft\index.tsx", "TypeScript JSX", 0, 50, 0, 0, 4, 54
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\SideBarRight\FriendCard.tsx", "TypeScript JSX", 0, 16, 0, 0, 4, 20
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\SideBarRight\index.tsx", "TypeScript JSX", 0, 29, 0, 0, 3, 32
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\Toast.tsx", "TypeScript JSX", 0, 61, 0, 4, 9, 74
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\common\Tooltip.tsx", "TypeScript JSX", 0, 20, 0, 0, 5, 25
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\home\CreatePostModal.tsx", "TypeScript JSX", 0, 80, 0, 0, 10, 90
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\home\CreatePostPrompt.tsx", "TypeScript JSX", 0, 39, 0, 0, 7, 46
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\home\ImageInput.tsx", "TypeScript JSX", 0, 170, 0, 0, 19, 189
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\svg\CheckIcon.tsx", "TypeScript JSX", 0, 13, 0, 0, 1, 14
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\svg\ChevronLeft.tsx", "TypeScript JSX", 0, 20, 0, 0, 1, 21
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\svg\ChevronRight.tsx", "TypeScript JSX", 0, 19, 0, 0, 1, 20
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\svg\CloseIcon.tsx", "TypeScript JSX", 0, 18, 0, 0, 1, 19
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\svg\Logo.tsx", "TypeScript JSX", 0, 25, 0, 0, 1, 26
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\svg\PlusIcon.tsx", "TypeScript JSX", 0, 19, 0, 0, 1, 20
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\components\svg\post\CommentAction.tsx", "TypeScript JSX", 0, 16, 0, 0, 2, 18
